,en,es,de,pl,es_MX,ja,ru,zh
KEY_GAME_OPTIONS,Game options,Opciones de juego,Spieleinstellungen,Opcje gry,Opciones de juego,ゲームオプション,Варианты игры,遊戲選項
KEY_EXIT,Exit game,Salir del juego,Spiel verlassen,Wyjdź z gry,Salir del juego,ゲームを終了,Выйти из игры,退出遊戲
KEY_MAGIC_FOREST,Magic Forest,Bosque mágico,Zauberwald,Zaczarowany las,Bosque mágico,魔法の森,Волшебный лес,魔法森林
KEY_RESUME,Resume game,Reanudar juego,Spiel fortsetzen,Wznów grę,Reanudar juego,ゲームを再開,Продолжить игру,遊戲繼續
KEY_PROJECT_WEBSITE,Project Website,Sitio web del proyecto,Projektwebsite,Strona projektu,Sitio web del proyecto,プロジェクトのウェブサイト,Сайт проекта,項目網站
KEY_EXIT_GAME_CONFIRMATION,Do You really want to exit the game?,¿De verdad quieres salir del juego?,Willst du das Spiel wirklich beenden?,Czy naprawdę chcesz wyjść z gry?,¿De verdad quieres salir del juego?,本当にゲームを終了しますか？,Вы действительно хотите выйти из игры?,您真的要退出遊戲嗎？
KEY_EXIT_HOUSE_CONFIRMATION,Do You really want to exit this house?,¿De verdad quieres salir de esta casa?,Willst du dieses Haus wirklich verlassen?,Czy naprawdę chcesz wyjść z tego domu?,¿De verdad quieres salir de esta casa?,本当にこの家を出ますか？,Вы действительно хотите выйти из этого дома?,您真的要離開這所房子嗎？
KEY_ENTER_HOUSE_CONFIRMATION,Do You really want to enter this house?,¿De verdad quieres entrar en esta casa?,Wollen Sie dieses Haus wirklich betreten?,Czy naprawdę chcesz wejść do tego domu?,¿De verdad quieres entrar en esta casa?,本当にこの家に入りたいですか？,Вы действительно хотите войти в этот дом?,您真的要進入這所房子嗎？
KEY_PAUSE_MENU,Pause Menu,Pausar menú,Menü anhalten,Menu Pauzy,Pausar menú,一時停止メニュー,Меню паузы,暫停菜單
KEY_OPTIONS_GENERAL,GENERAL,General,ALLGEMEINES,OGÓLNE,General,一般,ОБЩЕЕ,一般
KEY_OPTIONS_STEERING,STEERING,Direccion,STEUERUNG,STEROWANIE,Direccion,操舵,РУЛЕВОЕ УПРАВЛЕНИЕ,操舵
KEY_OPTIONS_FULLSCREEN_MODE,Fullscreen mode,Modo de pantalla completa,Vollbildmodus,Tryb pełnoekranowy,Modo de pantalla completa,全画面モード,Полноэкранный режим,全屏模式
KEY_OPTIONS_C-RESOLUTION,Custom resolution,Resolución personaliza,Eigene Auflösung,Własna rozdzielczość,Resolución personaliza,カスタム解像度,Пользовательское разрешение,自定義分辨率
KEY_OPTIONS_FORCED_FPS,Forced game FPS,Juego forzado FPS,Erzwungene FPS im Spiel,Wymuszony FPS w grze,Juego forzado FPS,強制ゲームFPS,Принудительная игра FPS,強制遊戲FPS
KEY_OPTIONS_APPLY,APPLY,Aplicar,ANWENDEN,ZASTOSUJ,Aplicar,適用する,ПОДАТЬ ЗАЯВЛЕНИЕ,應用
KEY_OPTIONS_GRAPHICS,GRAPHICS,Gráficos,GRAFIK,GRAFIKA,Gráficos,グラフィックス,ГРАФИКА,圖形
KEY_OPTIONS_AUDIO,AUDIO,Audio,KLANG,DŹWIĘK,Audio,オーディオ,AUDIO,音效
KEY_OPTIONS_MASTER_VOLUME,Master game volume,Volumen maestro del juego,Hauptspielvolumen,Główna głośność gry,Volumen maestro del juego,マスターゲームの音量,Мастер игры громкости,掌握遊戲量
KEY_OPTIONS_MUSIC_VOLUME,Music volume,Volumen de la música,Musiklautstärke im Spiel,Głośność muzyki w grze,Volumen de la música,音楽の音量,Громкость музыки,音樂音量
KEY_OPTIONS_SFX_VOLUME,SFX volume,Volumen SFX,Lautstärke der Effekte im Spiel,Głośność efektów w grze,Volumen SFX,SFXボリューム,Объем SFX,SFX音量
KEY_OPTIONS_OTHER,OTHER OPTIONS,Otras opcione,ANDERE OPTIONEN,INNE OPCJE,Otras opcione,別のオプション,ДРУГИЕ ВАРИАНТЫ,其他選擇
KEY_OPTIONS_DOWNLOAD_ASSETS_AGAIN,Download game assets again,Descargar los recursos del juego nuevamente,Laden Sie die Spielressourcen erneut herunter,Pobierz zasoby gry ponownie,Descargar los recursos del juego nuevamente,ゲームアセットを再度ダウンロードする,Загрузите игровые ресурсы снова,重新下載遊戲資產
KEY_OPTIONS_GAMEPLAY,GAMEPLAY,Como se Juega,SPIEL,ROZGRYWKA,Como se Juega,ゲームプレイ,Геймплей,遊戲機
KEY_OPTIONS_GC,Game clock,Reloj del juego,Spieluhr,Zegar gry,Reloj del juego,ゲーム時計,Игровые часы,遊戲時鐘
KEY_OPTIONS_GC_REAL,Realistic,Realista,Realistisch,Realistyczny,Realista,リアルな,реалистический,現實的
KEY_OPTIONS_GC_FICTIONAL,Fictional,Novelesco,Fiktiv,Fikcyjny,Novelesco,架空の,вымышленный,虛構的
KEY_OPTIONS_READY_TO_ASSIGN,"Click on a button to assign new key to the action, or press ESC to cancel","Haga clic en un botón para asignar una nueva clave a la acción, o presione ESC para cancelar","Klicken Sie auf die Schaltfläche neben dem Aktionsnamen, um dieser Aktion eine neue Schaltfläche zuzuordnen, oder drücken Sie die Esc-Taste, um den Vorgang abzubrechen","Kliknij na przycisk obok nazwy akcji aby powiązać nowy przycisk z tą akcją, lub naciśnij Esc aby anulować","Haga clic en un botón para asignar una nueva clave a la acción, o presione ESC para cancelar",ボタンをクリックして新しいキーをアクションに割り当てるか、ESCキーを押してキャンセルします,"Нажмите на кнопку, чтобы назначить новый ключ для действия, или нажмите ESC, чтобы отменить",單擊按鈕為操作分配新鍵，或按ESC取消
KEY_OPTIONS_ASSIGNING,Press a key to assign it to the selected action,Presione una tecla para asignarla a la acción seleccionada,"Drücken Sie die Taste, um sie der ausgewählten Aktion zuzuweisen",Naciśnij przycisk aby przypisać go do wybranej akcji,Presione una tecla para asignarla a la acción seleccionada,キーを押して、選択したアクションに割り当てます,"Нажмите клавишу, чтобы назначить ее выбранному действию",按鍵將其分配給所選動作
KEY_OPTIONS_STERRING_UP,Go UP,Subir,Geh hinauf,Idź do góry,Subir,上がる,Подниматься,上
KEY_OPTIONS_STERRING_DOWN,Go DOWN,Bajar,Nach unten gehen,Idź na dół,Bajar,降りる,Опускаться,下去
KEY_OPTIONS_STERRING_LEFT,Go LEFT,Ve a la izquierda,Gehe nach links,Idź w lewo,Ve a la izquierda,左に行く,Иди налево,往左走
KEY_OPTIONS_STERRING_RIGHT,Go RIGHT,Ve a la derecha,Geh rechts,Idź w prawo,Ve a la derecha,右に行って,Иди направо,向右走
KEY_OPTIONS_LANG,Language,Idioma,Sprache,Język,Idioma,言語,язык,語言
KEY_OPTIONS_LANG_EN,English,Idioma inglés,Englisch,Angielski,Idioma inglés,英語,английский,英語
KEY_OPTIONS_LANG_ES,Spanish,Idioma español,Spanisch,Hiszpański,Idioma español,スペイン語,испанский,西班牙文
KEY_OPTIONS_LANG_DE,German,Idioma alemán,Deutsche,Niemiecki,Idioma alemán,ドイツ人,Немецкий,德語
KEY_OPTIONS_LANG_PL,Polish,Idioma polaco,Polieren,Polski,Idioma polaco,研磨,полировать,拋光
KEY_OPTIONS_PRIMARY_BUTTONS,Primary buttons,Botones primarios,Erstklassige Tasten,Pierwszorzędne przyciski,Botones primarios,主ボタン,Основные кнопки,主要按鈕
KEY_OPTIONS_SECONDARY_BUTTONS,Secondary buttons,Botones secundarios,Sekundärtasten,Drugorzędne przyciski,Botones secundarios,二次ボタン,Дополнительные кнопки,次要按鈕
KEY_DOWNLOADING_REQUIRED_GAME_ASSETS,Downloading required game assets,Descargar los recursos necesarios del juego,Laden Sie die erforderlichen Spielressourcen herunter,Pobieranie wymaganych zasobów gry,Descargar los recursos necesarios del juego,必要なゲームアセットのダウンロード,Загрузка необходимых игровых ресурсов,下載所需的遊戲資產
KEY_OPTIONS_LANG_ES_MX,Spanish (Mexico),Idioma Español (mexico),Spanisch (Mexiko),Hiszpański (Meksyk),Idioma Español (mexico),スペイン語（メキシコ）,Испанский (Мексика),西班牙語（墨西哥）
KEY_OPTIONS_LANG_JA,Japanese,Idioma japonés,Japanisch,Japoński,Idioma japonés,日本人,японский язык,日本
KEY_OPTIONS_LANG_RU,Russian,Idioma ruso,Russisch (Russisch),Rosyjski (ruski),Idioma ruso,ロシア,русский,俄語
KEY_OPTIONS_LANG_ZH,Chinese (phonetic symbols),Idioma chino (símbolos fonéticos),Chinesisch (phonetische Zeichen),Chiński (znaki fonetyczne),Idioma chino (símbolos fonéticos),中国語（発音記号）,Китайский (фонетические символы),中文（注音符號）
KEY_HAPPY_BDAY,Happy Birthday for: ,Feliz cumpleaños a,Alles Gute zum Geburtstag an,Wszystkiego najlepszego z okazji urodzin dla:,Feliz cumpleaños a,お誕生日おめでとう：,С Днем Рождения:,生日快樂：
KEY_OPTIONS_NSFW,NSFW,NSFW,NSFW,NSFW,NSFW,NSFW,NSFW,國家自然科學基金會
KEY_AUTHORS,Authors,Autores,Autoren,Autorzy,Autores,著者,Авторы,作者
KEY_WORLD_LIST,Select World,Seleccione mundo,Wählen Sie Welt,Wybierz Świat,Seleccione mundo,世界を選択,Выберите Мир,選擇世界
KEY_OPTIONS_LICENSES,See Licenses,Ver licencias,Siehe Lizenzen,Zobacz Licencje,Ver licencias,ライセンスを見る,Смотрите Лицензии,查看許可
KEY_OPTIONS_OTHER,OTHER OPTIONS,OTRAS OPCIONES,ANDERE OPTIONEN,INNE,OTRAS OPCIONES,別のオプション,Другие варианты,其他O
KEY_OPTIONS_INSTALL_DLC,Install DLC,,,Zainstaluj DLC,,,,
KEY_INSTALL_DLC_DIALOG,Select DLC file,,,Wybierz plik z DLC,,,,
KEY_INSTALL_DLC_SUCCESS,DLC was installed succesfully,,,DLC zostało zainstalowane poprawnie,,,,
KEY_SUCCESS,SUCCESS!,,,SUKCES!,,,,
KEY_INSTALL_DLC_FAILED,"Failed to install DLC

Want to try again?",,,"Błąd instalacji DLC

Czy chcesz spróbować ponownie?",,,,
KEY_FAILED,FAILED!,,,BŁĄD!,,,,
KEY_OPTIONS_MANAGE_DLCS,Manage Installed DLCS,,,Zarządzaj zainstalowanymi DLC,,,,
KEY_OPTIONS_REMOVE_DLC,Remove DLC,,,Usuń DLC,,,,
